;Matchs ;Taux de reussite :;;98,40%;;;
;;;;;;;
;;;;;;;
;;;total;win ;lose ;86m30;12
;;;125;123;2;1;2
;;;;;;;
03/09/2025;ArsenalTula;SKAKhabarovsk;1;1;;;
03/09/2025;FCChayka;RotorVolgograd;1;;1;;
03/09/2025;SanatNaft;Saipa;1;1;;;
02/09/2025;Ferroviária;Cuiabá;1;1;;;
01/09/2025;LaEquidad;DeportivoPasto;1;1;;;
01/09/2025;NuevaChicago;GimnasiadeMendoza;1;1;;;
31/08/2025;Aldosivi;BocaJuniors;1;1;;;
31/08/2025;MarumoGallants;PolokwaneCity;1;1;;;
31/08/2025;SportingLisbonB;Ferreira;1;1;;;
31/08/2025;USMAlger;MCAlger;1;1;;;
31/08/2025;VélezSársfield;ClubAtléticoLanús;1;1;;;
30/08/2025;BraintreeTown;ForestGreen;1;1;;;
30/08/2025;Brusque;CSA;1;1;;;
30/08/2025;ChacaritaJuniors;ClubAtléticoMitre;1;1;;;
30/08/2025;ElGounaFC;ZEDFC;1;1;;;
30/08/2025;FCUfa;FCChayka;1;1;;;
30/08/2025;IsmailySC;GhazlElMehalla;1;1;;;
30/08/2025;KSFlamurtariVlorë;KFBylis;1;;1;;
30/08/2025;NewellsOldBoys;BarracasCentral;1;1;;;
30/08/2025;Penafiel;Chaves;1;1;;;
30/08/2025;Renate;GianaErminio;1;1;;;
30/08/2025;RotorVolgograd;SpartakKostroma;1;1;;;
30/08/2025;SanTelmo;ChacoForEver;1;1;;;
30/08/2025;TristánSuárez;AllBoys;1;1;;;
30/08/2025;YokohamaFC;TokyoVerdy;1;1;;;
29/08/2025;SportivoAmeliano;NacionalAsunción;1;1;;;
29/08/2025;Sudan;Senegal;1;1;;;
29/08/2025;UnióndeSantaFe;RiverPlate;1;1;;;
29/08/2025;AlIttihadAlexandria;ENPPIClub;1;1;;;
29/08/2025;NationalBankEgypt;TalaeaElGaish;1;1;;;
29/08/2025;RealSanAndrés;BocaJuniorsdeCali;1;1;;;
28/08/2025;DeportivoMorón;GimnasiadeMendoza;1;1;;;
28/08/2025;MesShahreBabakKerma;ParsJonoubiJam;1;1;;;
28/08/2025;Saipa;SanatMesKerman;1;1;;;
27/08/2025;DeportivoMorón;GimnasiadeMendoza;1;1;;;
27/08/2025;Saipa;SanatMesKerman;1;1;;;
26/08/2025;FortalezaCEIF;IndependienteMedellín;1;1;;;
26/08/2025;AllBoys;SanMartíndeTucumán;1;1;;;
26/08/2025;GolGohar;FajrSepasi;1;1;;;
26/08/2025;MarumoGallants;StellenboschFC;1;1;;;
26/08/2025;PontePreta;CSA;1;1;;;
25/08/2025;BotafogoPB;Tombense;1;1;;;
25/08/2025;DeportesTolima;AtléticoNacional;1;1;;;
25/08/2025;GodoyCruz;VélezSársfield;1;1;;;
25/08/2025;OrsomarsoSC;AtléticoHuila;1;1;;;
25/08/2025;PetrojetFC;ElMokawloonSC;1;1;;;
25/08/2025;RotorVolgograd;FCTorpedoMoscow;1;1;;;
25/08/2025;Sampdoria;Modena;1;1;;;
25/08/2025;ZEDFC;WadiDegla;1;1;;;
24/08/2025;Cacahuatique;IsidroMetapán;1;1;;;
24/08/2025;ClubAtléticoMitre;SanTelmo;1;1;;;
24/08/2025;Colegiales(Arg);Patronato;1;1;;;
24/08/2025;DeportesSantaCruz;CuricóUnido;1;1;;;
