;;Matchs ;Taux de reussite :;;96,33%;;
;;;;;;;
;;;total;win;lose ;42m30;3 min
;;;109;105;4;2;0
;;;;;;;
;;;;;;;
10/08/2025;DepTachira;AnzoateguiFC;1;1;;;
10/08/2025;DinMinsk;Zhodino;1;1;;1;
10/08/2025;DynamoBrest;Naftan;1;1;;;
10/08/2025;Ehime;Tosu;1;1;;;
10/08/2025;Envigado;CAJunior;1;1;;;
10/08/2025;FlamengoRJ;Mirassol;1;1;;;
10/08/2025;GambaOsaka;Okayama;1;1;;;
10/08/2025;GuangdongGZPower;GuangxiPingguoHaliao;1;1;;;
10/08/2025;HajdukSplit;Gorica;1;1;;;
10/08/2025;HBTorshavn;Streymur;1;1;;;
10/08/2025;Instituto;Platense;1;1;;;
10/08/2025;Jeonnam;CheonanCity;1;1;;;
10/08/2025;KrSovetovW;CSKAMoscowW;1;1;;;
10/08/2025;Kursk;DynamoVladivostok;1;;1;;
10/08/2025;LaLouviere;Charleroi;1;1;;;
10/08/2025;Legia;GKSKatowice;1;1;;;
10/08/2025;Leicester;SheffieldWed;1;1;;;
10/08/2025;Leiria;AcademicoViseu;1;1;;;
10/08/2025;Lillestrom;Aalesund;1;1;;;
10/08/2025;Lyn;Ranheim;1;1;;;
10/08/2025;Mashuk;TekstilshchikIv;1;1;;;
10/08/2025;MetalistKharkiv;Inhulets;1;1;;;
10/08/2025;Napredak;Partizan;1;;1;;
10/08/2025;NationalBank;ElMahallah;1;1;;;
10/08/2025;Norrby;Oskarshamn;1;1;;;
10/08/2025;OaklandRoots;ColoradoSprings;1;1;;;
10/08/2025;Odd;Raufoss;1;1;;;
10/08/2025;Palmeiras;Ceara;1;1;;;
10/08/2025;PersijaJakarta;Persita;1;1;;;
10/08/2025;Pharco;Enppi;1;1;;;
10/08/2025;Philadelphia;Toronto;1;1;;;
10/08/2025;Podolje;ChOdesa;1;1;;;
10/08/2025;RadnickiNis;NoviPazar;1;1;;1;
10/08/2025;RamplaJuniors;Fenix;1;1;;;
10/08/2025;Rentistas;Maldonado;1;1;;;
10/08/2025;Rotor;Ufa;1;1;;;
10/08/2025;SacramentoRepublic;MontereyBay;1;1;;;
10/08/2025;SaoPaulo;Vitoria;1;1;;;
10/08/2025;Sendai;Tokushima;1;1;;;
10/08/2025;Sibir;Leningradets;1;1;;;
10/08/2025;SuzhouDongwu;ShijiazhuangGongfu;1;1;;;
10/08/2025;Tacuarembo;ClubOriental;1;1;;;
10/08/2025;Tauro;UMECIT;1;1;;;
10/08/2025;Temperley;SanTelmo;1;1;;;
10/08/2025;TianjinTigers;QingdaoWestCoast;1;1;;;
10/08/2025;Trelleborg;UmeaFC;1;1;;;
10/08/2025;VascodaGama;AtleticoMG;1;1;;;
10/08/2025;Veles;VolgarAstrakhan;1;1;;;
10/08/2025;Vestri;FramR;1;1;;;
10/08/2025;Wanderers;PlazaColonia;1;1;;;
10/08/2025;YelimaySemey;Aktobe;1;1;;;
